setup,num_samples,mrr,hit@1,hit@3,ndcg@3,evidence_mrr,evidence_hit@1,evidence_hit@3,evidence_ndcg@3,hazard_hit@3,legal_hit@3,latency_p50_ms,latency_p95_ms
dual_retrieval_agent,80,0.0333,0.0250,0.0500,0.0375,0.9338,0.9125,0.9500,0.9362,0.3625,0.9500,4.7184,5.5041
dual_no_source_ablation,80,0.0129,0.0000,0.0250,0.0141,0.9213,0.9000,0.9250,0.9158,0.3125,0.9250,3.6792,4.0851
