setup,num_samples,mrr,hit@1,hit@3,hit@5,ndcg@1,ndcg@3,ndcg@5,recall@1,recall@3,recall@5,hazard_mrr,hazard_hit@1,hazard_hit@3,hazard_hit@5,hazard_ndcg@3,legal_mrr,legal_hit@1,legal_hit@3,legal_hit@5,legal_ndcg@3,evidence_mrr,evidence_hit@1,evidence_hit@3,evidence_hit@5,evidence_ndcg@3,latency_p50_ms,latency_p95_ms
dual_retrieval_agent,80,0.0333,0.0250,0.0500,0.0500,0.0250,0.0375,0.0375,0.0250,0.0500,0.0500,0.2129,0.0750,0.3625,0.4250,0.2400,0.9338,0.9125,0.9500,0.9625,0.9362,0.9338,0.9125,0.9500,0.9625,0.9362,4.7184,5.5041
dual_no_source_ablation,80,0.0129,0.0000,0.0250,0.0375,0.0000,0.0141,0.0190,0.0000,0.0250,0.0375,0.2077,0.1000,0.3125,0.3875,0.2210,0.9213,0.9000,0.9250,0.9625,0.9158,0.9213,0.9000,0.9250,0.9625,0.9158,3.6792,4.0851
